1	2	\N
1	3	\N
1	4	\N
1	5	\N
1	6	\N
1	7	\N
1	8	\N
1	9	\N
1	10	\N
1	11	\N
1	12	\N
1	13	\N
1	14	\N
1	15	\N
1	16	\N
1	17	\N
1	18	\N
1	19	\N
1	20	1217964960
1	21	\N
1	22	\N
1	23	\N
1	24	1227241074
1	25	1229314692
1	26	\N
1	27	\N
28	29	\N
28	30	\N
28	31	\N
32	33	\N
32	34	\N
32	35	\N
32	36	\N
32	37	\N
38	39	1160092062
38	40	1163035868
38	41	1212762655
38	42	\N
38	43	1193415568
38	44	1208879204
38	45	\N
38	46	1201709191
38	47	\N
38	48	1229725179
38	49	1228260040
50	51	1227390516
50	52	1225036437
50	7	1218668711
50	8	1223175707
50	53	1228090862
54	55	\N
54	56	\N
54	57	\N
58	59	\N
58	60	\N
58	61	\N
58	62	\N
58	63	\N
64	65	\N
64	66	\N
64	67	\N
64	68	\N
64	69	1190291140
64	70	1175280122
64	71	1169045036
64	72	1198871607
